,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,name,artists
0,0.782,0.636,-7.282,0.0438,0.125,5.54e-05,0.0928,0.723,122.525,Kite in a Hurricane,HAEVN
1,0.697,0.878,-5.142,0.0805,0.0438,1.04e-05,0.262,0.871,115.001,BREAK MY SOUL,Beyoncé
2,0.741,0.913,-3.34,0.0465,0.00343,0.103,0.325,0.643,120.012,Cracker Island (feat. Thundercat),"Gorillaz, Thundercat"
3,0.929,0.643,-4.549,0.0739,0.00885,2.94e-05,0.258,0.863,123.972,Sharks,Imagine Dragons
4,0.588,0.658,-5.701,0.317,0.288,0.0,0.13,0.624,101.161,Interessant (feat. Bizzey),"Jinho 9, KATNUF, Jeriel Thunder, Bizzey"
5,0.872,0.422,-7.415,0.363,0.0254,0.0,0.109,0.778,149.956,Late To Da Party (feat. Youngboy Never Broke Again),"Lil Nas X, YoungBoy Never Broke Again"
6,0.486,0.189,-13.738,0.0324,0.908,6.51e-06,0.256,0.37,115.782,Carolina - From The Motion Picture “Where The Crawdads Sing”,Taylor Swift
7,0.727,0.808,-5.457,0.0555,0.00759,1.25e-05,0.327,0.802,113.991,Green Lights,Blackbird
8,0.647,0.881,-3.531,0.13,0.0422,0.0,0.159,0.383,149.955,Barricades (With Rita Ora),"Netsky, Rita Ora"
9,0.434,0.434,-10.539,0.0524,0.4,5.08e-05,0.113,0.365,203.662,Stap Voor Stap,Guus Meeuwis
10,0.869,0.838,-4.515,0.0663,0.0113,0.269,0.0583,0.717,122.018,The Drop,"Dimitri Vegas, David Guetta, Nicole Scherzinger, Azteck"
11,0.789,0.71,-6.165,0.0681,0.128,0.0,0.112,0.188,138.033,Real Talk,Roddy Ricch
12,0.66,0.691,-6.062,0.155,0.493,0.000379,0.0767,0.929,199.912,Banana,"Chivv, Jandro, Jonna Fraser"
13,0.634,0.955,-4.666,0.0364,0.00162,0.0469,0.294,0.459,124.01,Won't Leave (ft. Nonô),"MOTi, L4TCH, Nonô"
14,0.64,0.553,-6.42,0.0411,0.0579,0.0,0.0914,0.486,81.992,Breakfast,Dove Cameron
15,0.881,0.592,-4.898,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook"
16,0.624,0.808,-5.17,0.0992,0.0106,0.0,0.0828,0.655,171.104,Disaster,Conan Gray
17,0.428,0.443,-8.955,0.101,0.525,1.76e-05,0.219,0.2,87.934,Lost Me,Giveon
18,0.679,0.481,-8.413,0.0274,0.239,0.000124,0.0922,0.647,112.001,Acid Eyes,Paolo Nutini
19,0.587,0.488,-6.689,0.0266,0.0608,0.0,0.0837,0.23,107.187,Everybody Needs Someone,James Bay
20,0.317,0.15,-17.433,0.0323,0.951,9.28e-05,0.113,0.228,45.306,Can't Help Falling in Love,Kacey Musgraves
21,0.685,0.676,-9.451,0.226,0.272,0.00229,0.205,0.343,120.359,The One,"Yssi SB, Jordan Knows"
22,0.739,0.58,-7.414,0.0637,0.0395,0.0,0.114,0.452,96.501,Psychic,"Chris Brown, Jack Harlow"
23,0.491,0.704,-6.978,0.0464,0.0839,0.000529,0.105,0.515,147.116,PIECES,Elley Duhé
24,0.708,0.571,-9.444,0.0424,0.0325,0.0,0.0588,0.579,103.021,Als Je Blijft,Ginger
25,0.856,0.453,-10.611,0.158,0.521,0.000133,0.103,0.544,94.007,From the Gutter,Sevn Alias
26,0.53,0.898,-5.082,0.254,0.000439,0.0476,0.352,0.612,124.002,Live For Tonight,Jack Wins
27,0.569,0.85,-4.718,0.129,0.0152,0.0,0.204,0.558,159.979,Twinkle Twinkle Little Bitch,Leah Kate
28,0.742,0.724,-4.066,0.0326,0.0555,0.0,0.0346,0.945,117.965,Cold Heart - Single Edit,The Kooks
29,0.736,0.786,-7.917,0.258,0.108,0.0,0.0468,0.568,81.909,From The D 2 The LBC (with Snoop Dogg),"Eminem, Snoop Dogg"
30,0.56,0.942,-4.482,0.163,0.0218,0.0,0.0894,0.483,151.083,9 lives,Machine Gun Kelly
31,0.45,0.968,-4.018,0.0507,0.000921,2.09e-05,0.121,0.487,154.011,<maybe> it's my fault,WILLOW
32,0.512,0.538,-8.302,0.0269,0.0513,0.774,0.122,0.516,156.048,Open Window,Warhaus
33,0.489,0.622,-6.134,0.228,0.686,0.0,0.182,0.952,93.434,Deal Or No Deal (feat. Mabel),"A1 x J1, Mabel"
34,0.533,0.752,-5.417,0.0513,0.112,8.52e-05,0.278,0.242,148.775,Her Body Is Bible,FLETCHER
35,0.51,0.791,-7.952,0.0427,0.0291,5.44e-05,0.625,0.593,177.091,Easy Going,Mood Bored
36,0.701,0.649,-5.649,0.0324,0.222,0.0,0.121,0.488,125.039,Je te vois enfin,Christine and the Queens
37,0.681,0.804,-5.22,0.157,0.0234,1.09e-06,0.0949,0.496,139.097,Alive,Coely
38,0.865,0.642,-6.614,0.321,0.556,1.93e-06,0.282,0.887,150.105,DL4V,Nemzzz
39,0.815,0.7,-7.0,0.112,0.016,9.67e-06,0.0649,0.567,94.996,SHOWING OFF HER BODY (with Davido),"DaBaby, Davido"
40,0.665,0.945,-5.73,0.22,0.00974,4.04e-05,0.241,0.508,120.0,Entrevue,"Arno Cost, Quentyn, Antoine Larsen"
